Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -337.0665    -337.0665       0.0000     0.0
0.2000         921.6208    -331.3354    1252.9562  201943.9
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -337.0665    -337.0665       0.0000     0.0
0.0200         453.0715    -351.1370     804.2085  129617.4
0.0400         324.2273    -340.7192     664.9465  107172.0
0.0600         113.6276    -341.3928     455.0204  73337.4
0.0800          -6.4149    -345.4896     339.0747  54650.0
0.1000          -1.7933    -344.7191     342.9258  55270.7
0.1200         -14.9332    -345.3784     330.4452  53259.2
0.1400          58.7131    -347.3258     406.0389  65442.9
0.1600          18.2077    -347.4287     365.6364  58931.0
0.1800         -98.6944    -346.0717     247.3773  39870.8
0.2000         921.6208    -331.3354    1252.9562  201943.9
